Time (in s),Radial Velocity (in m/s)
0,0.06294935408772886
100000,0.06646747317552253
200000,0.06651365888577679
300000,0.0625239964418016
400000,0.059927960972838666
500000,0.06560928122019194
600000,0.05970658390116174
700000,0.06527916853441466
800000,0.06827663144015236
900000,0.06272295443282093
1000000,0.06703405198162063
1100000,0.06653699899507434
1200000,0.05974400405731571
1300000,0.05087513463441312
1400000,0.05705848453743145
1500000,0.051997271991041955
1600000,0.0578796555455649
1700000,0.0660355511762657
1800000,0.05881249514282263
1900000,0.054605131769931925
2000000,0.0612294573130575
2100000,0.04900441735095335
2200000,0.059675956434280746
2300000,0.05882292866568654
2400000,0.059895348328368264
2500000,0.04928170040259344
2600000,0.054099690625562004
2700000,0.06482726855829953
2800000,0.06401227667133365
2900000,0.058596870168801114
3000000,0.0526472308253315
3100000,0.06624265590639383
3200000,0.049251652121208266
3300000,0.0626602479578798
3400000,0.05683280009140951
3500000,0.05292116898018675
3600000,0.04949721429001615
3700000,0.04771356292302911
3800000,0.05657089019507701
3900000,0.06352242891953873
4000000,0.04950959480488814
4100000,0.05187031780286305
4200000,0.047315435064289924
4300000,0.05522169902138983
4400000,0.06134462805511859
4500000,0.047963033026758514
4600000,0.0479919450379733
4700000,0.05134358340238003
4800000,0.05352379877311883
4900000,0.05798588671382936
5000000,0.05236412650575804
5100000,0.05694237275506424
5200000,0.040984180268473586
5300000,0.04350262040338148
5400000,0.05072764843857002
5500000,0.05613758758217649
5600000,0.05285099379926124
5700000,0.037451392391780955
5800000,0.047014858606875314
5900000,0.04560791542863845
6000000,0.041062882157154076
6100000,0.0355483437570657
6200000,0.040138541804571506
6300000,0.04061787513731915
6400000,0.0493022855222922
6500000,0.0373453780179624
6600000,0.05132758981009908
6700000,0.04275101322553841
6800000,0.041853429333800624
6900000,0.04030874374266355
7000000,0.030762010692152487
7100000,0.039706853592312075
7200000,0.03777832974033662
7300000,0.04805646699538685
7400000,0.033341992818513674
7500000,0.038720890758671064
7600000,0.041305019115471325
7700000,0.042133737149923176
7800000,0.027021185106052604
7900000,0.03938757992761344
8000000,0.037060123577087774
8100000,0.04146688249397586
8200000,0.035609479132711064
8300000,0.03847477217564657
8400000,0.032671077858829604
8500000,0.03574281937450284
8600000,0.02732219116393271
8700000,0.03638961667443616
8800000,0.024271897747605672
8900000,0.03290004624303802
9000000,0.019600935330988438
9100000,0.033850229133367896
9200000,0.03275671885496019
9300000,0.02339065667805799
9400000,0.020285660215154017
9500000,0.027074707787273937
9600000,0.02651762524382252
9700000,0.022801398004094506
9800000,0.012640196724057053
9900000,0.02146727728221474
10000000,0.020870005985217117
10100000,0.006751848145014567
10200000,0.013990313245662633
10300000,0.016506788960156005
10400000,0.004998691528528985
10500000,0.0032726805649625963
10600000,0.015383086602467053
10700000,0.02003285815322156
10800000,0.00667705056745007
10900000,0.0042874953607704575
11000000,0.0042433303256013645
11100000,0.017382536370352634
11200000,0.0005458154073527833
11300000,0.006694542347605923
11400000,0.0008658943197970273
11500000,0.0003713028719135973
11600000,0.012340788878404707
11700000,-0.001904289325160148
11800000,-0.00792682772873716
11900000,-0.007900548900782383
12000000,-0.010562771312391219
12100000,0.0012128252989289968
12200000,-0.01286804361788683
12300000,-0.007228873747379385
12400000,-0.010037249134044655
12500000,-0.008367337408132917
12600000,-0.0021642803239737343
12700000,-0.009605225410070996
12800000,-0.013024242718230664
12900000,-0.0008769743060229179
13000000,-0.01884673864058338
13100000,-0.008784429829949689
13200000,-0.02287705856366248
13300000,-0.022902446331632714
13400000,-0.012946740880443562
13500000,-0.02636052878021743
13600000,-0.011954920749105324
13700000,-0.026301859924725942
13800000,-0.019110007771305185
13900000,-0.012828324242668027
14000000,-0.015039206055991995
14100000,-0.02777663743997026
14200000,-0.026175967193005346
14300000,-0.035952144109239144
14400000,-0.024820722659708905
14500000,-0.02971568282297484
14600000,-0.02262142147407947
14700000,-0.03953212842605901
14800000,-0.034555847349088314
14900000,-0.0380814292659776
15000000,-0.02438579886284828
15100000,-0.04044445841696024
15200000,-0.045445565241874625
15300000,-0.0400524218885476
15400000,-0.033629748115963795
15500000,-0.04495727967707121
15600000,-0.04314123776807175
15700000,-0.04592616989158099
15800000,-0.042760713724102846
15900000,-0.0455342084046971
16000000,-0.04180488456991739
16100000,-0.03678693847966816
16200000,-0.039432023051948775
16300000,-0.04383616236143788
16400000,-0.04489916851254
16500000,-0.048284753530543824
16600000,-0.04189951834033379
16700000,-0.05947201051213951
16800000,-0.05564033351497418
16900000,-0.06413310717234363
17000000,-0.04608877290086924
17100000,-0.05296280301163128
17200000,-0.06604929693861691
17300000,-0.057772405586997935
17400000,-0.05271258238878379
17500000,-0.06960507843348226
17600000,-0.06032014965453735
17700000,-0.054457087125652434
17800000,-0.0572689473047327
17900000,-0.06690422128913173
18000000,-0.06636750069147299
18100000,-0.07301531348312963
18200000,-0.0733582810152258
18300000,-0.06463028102526913
18400000,-0.072916579929386
18500000,-0.06985524245532483
18600000,-0.06522963518587696
18700000,-0.07684051846045671
18800000,-0.06775679082372202
18900000,-0.07060257024370421
19000000,-0.08305176267912026
19100000,-0.06702460028383384
19200000,-0.07314785806832008
19300000,-0.08661619653498434
19400000,-0.0802217796190665
19500000,-0.08389796190896176
19600000,-0.08249423423823919
19700000,-0.08026205608122776
19800000,-0.09201175443179999
19900000,-0.08500904207388331
20000000,-0.08408874820400769
20100000,-0.08606468063969991
20200000,-0.08104023855957135
20300000,-0.07859209103896868
20400000,-0.09542309652199422
20500000,-0.09894260163147194
20600000,-0.08189979955681151
20700000,-0.09056521255477762
20800000,-0.08697601938423667
20900000,-0.08602911385128732
21000000,-0.09739538361404443
21100000,-0.09396091569150387
21200000,-0.10279737895546974
21300000,-0.09623293677798431
21400000,-0.0915458431431017
21500000,-0.10702105388136782
21600000,-0.09812552631851483
21700000,-0.09044334548738739
21800000,-0.09958545006522801
21900000,-0.09290724090293684
22000000,-0.09912693361769609
22100000,-0.10785993227816976
22200000,-0.10226456346181008
22300000,-0.10964626908770123
22400000,-0.10891960092026957
22500000,-0.11251492245063377
22600000,-0.10050579860370029
22700000,-0.10855109869951562
22800000,-0.1036347371353739
22900000,-0.1096825324067219
23000000,-0.09970651333509903
23100000,-0.11143508376616743
23200000,-0.11428874074669858
23300000,-0.10840897657263648
23400000,-0.11826950339858461
23500000,-0.10726124316132805
23600000,-0.11910074687208043
23700000,-0.11152507932045416
23800000,-0.10468193962036955
23900000,-0.10771662579967574
24000000,-0.1213584481748056
24100000,-0.11949755977329472
24200000,-0.10444952113981637
24300000,-0.11523268161288236
24400000,-0.11755058035983247
24500000,-0.11053105913366307
24600000,-0.11141990683818823
24700000,-0.10682694400753487
24800000,-0.11225921524037143
24900000,-0.11505933861215309
25000000,-0.12100456186809765
25100000,-0.11084165277880859
25200000,-0.11304327115468157
25300000,-0.11362878238459788
25400000,-0.12174740366153983
25500000,-0.12290945770499759
25600000,-0.10979567086697362
25700000,-0.11497203629003204
